team name,name1,name2,Institution-scale,institution,institution
InstiA1,Poloskey Enriqueta,Harbour Johnathan,c,InstiA,InstiB
InstiA2,Putzer Socorro,Gerety Emilia,c,InstiA,
InstiA3,Mcfate Della,Soderman Allison,c,InstiA,
InstiA4,Panduro Barrie,Schatzberg Deidre,c,InstiA,
InstiA5,Volkert Janene,Chrisley Suzette,c,InstiA,
InstiA6,Shames Lorilee,Levreau Maribel,c,InstiA,
InstiA7,Raterman Landon,Storrs Shavon,c,InstiA,
InstiA8,Gailliard Kim,Surette Buck,c,InstiA,
InstiB1,Stadtlander Lakeshia,Spino Cynthia,c,InstiB,
InstiB2,Corey Kathie,Dantzler Theodore,c,InstiB,
InstiB3,Delamare Arlene,Vokes Lottie,c,InstiB,
InstiB4,Reedy Delora,Turke Elsa,c,InstiB,
InstiB5,Dejoie Jaye,Rayford Caren,c,InstiB,
InstiB6,Kuhr Claude,Parolini Deandre,c,InstiB,
InstiD1,Jewkes Adah,Wedner Nicolasa,c,InstiD,
InstiD2,Sulzman Luetta,Luangxay Ricardo,c,InstiD,
InstiD3,Allgier Dora,Hochstine Gladys,c,InstiD,
InstiD4,Younce Lahoma,Guzalak Ronda,c,InstiD,
InstiD5,Garin Season,Nurmi Niesha,c,InstiD,
InstiD6,Zephyr Nelida,Donlin Thaddeus,c,InstiD,
InstiD7,Swayzer Alisia,Ana Patty,c,InstiD,
InstiD8,Ngueyn Refugio,Chandronnait Lorean,c,InstiD,
InstiE1,Sutcliffe Giselle,Hudecek Adina,c,InstiE,
InstiE2,Urias Jimmie,Baudler Ruthe,c,InstiE,
InstiE3,Kozub Matilda,Flautt Rosemarie,c,InstiE,
InstiE4,Yunes Johnny,Lais Mike,c,InstiE,
InstiE5,Rushmore Lenard,Rothweiler Anthony,c,InstiE,
InstiE6,Blitch Maurice,Storniolo Berry,c,InstiE,
InstiE7,Berdan Ashely,Cunning Jaclyn,c,InstiE,
InstiE8,Savo Vanessa,Naone Ami,c,InstiE,
InstiE9,Parsh Dixie,Montoro Edmundo,c,InstiE,
InstiE10,Obeng Mandi,Shuffleburg Fiona,c,InstiE,
InstiF1,Linsner Joshua,Dabbs Zola,c,InstiF,
InstiF2,Gladish Kayleigh,Harbeck Kai,c,InstiF,
InstiF3,Thoeny Catherine,Spitale Ardis,c,InstiF,
InstiF4,Gainforth Damon,Darocha Mac,c,InstiF,
InstiF5,Mead Danial,Raza Lani,c,InstiF,
InstiF6,Hulshoff Christy,Capilla Cicely,c,InstiF,
InstiG1,Thies Hertha,Boehme Lauren,c,InstiG,
InstiG2,Plohr An,Mendillo Julio,c,InstiG,
InstiG3,Heinricher Reynaldo,Malak Tabetha,c,InstiG,
InstiG4,Drouillard Latoya,Yust Otilia,c,InstiG,
InstiG5,Jannsen Frida,Brank Yolande,c,InstiG,
InstiG6,Kassim Marta,Keis Iona,c,InstiG,
InstiG7,Moevao Versie,Ambrosino Flossie,c,InstiG,
InstiG8,Liebherr Roderick,Pedralba Suzanne,c,InstiG,
InstiG9,Hunstad Janel,Timinsky Courtney,c,InstiG,
InstiH1,Mccullar Tanna,Rapson Audrea,c,InstiH,InstiB
InstiH2,Waltersdorf Logan,Sandin Oretha,c,InstiH,
InstiH3,Lipsky Lindsay,Toler Betty,c,InstiH,
InstiH4,Arbogast Jeffrey,Teitsort Ozella,c,InstiH,
InstiH5,Schnautz Frederick,Kadis Katheleen,c,InstiH,
InstiH6,Mohaupt Ji,Clepper Sommer,c,InstiH,
InstiH7,Pa Leigh,Fiorito Burl,c,InstiH,
InstiH8,Loiacona Jettie,Leaser Thersa,c,InstiH,
InstiH9,Branner Lavette,Trumball Rod,c,InstiH,
InstiH10,Clanin Corey,Duso Maxima,c,InstiH,
InstiH11,Stockfisch Buford,Knoepke Columbus,c,InstiH,
InstiH12,Skillett Clora,Guerra Orval,c,InstiH,
InstiIII6,Dilucca Stephaine,Hagert Elli,c,InstiIII,
InstiIII7,Stillie Desiree,Havenhill Kenda,c,InstiIII,
InstiIII8,Scheyer Delana,Flecher Dan,c,InstiIII,
InstiIII9,Schnell Risa,Poltorak Sydney,c,InstiIII,
InstiIII10,Curlin Elfrieda,Jaffy Corrina,c,InstiIII,
InstiIII11,Minock Buena,Wisser Luann,c,InstiIII,
InstiIII12,Celestino Mana,Ouimette Zonia,c,InstiIII,
InstiIII13,Ljungquist Samual,Alexandria Allie,c,InstiIII,
InstiJ1,Ehmer Jonnie,Alvelo Johanne,c,InstiJ,
InstiJ2,Carlin Cody,Longest Jane,c,InstiJ,
InstiJ3,Merlino Temeka,Vanbibber Chang,c,InstiJ,
InstiJ4,Rovinsky Kiesha,Abolafia Jan,c,InstiJ,
InstiJ5,Hannah Jerry,Woodrum Meredith,c,InstiJ,
InstiJ6,Amigon Hipolito,Rosenbalm Delsie,c,InstiJ,
InstiJ7,Swindle Iola,Genest Iraida,c,InstiJ,
InstiJ8,Elkayam Luis,Vaneaton Luther,c,InstiJ,
InstiJ9,Reigleman Bree,Mccredie Retha,c,InstiJ,
InstiK1,Deignan Hank,Hennig Bryan,c,InstiK,InstiJ
InstiK2,Mugica Emelda,Gouveia Wally,c,InstiK,
InstiK3,Acree Derek,Machacek Suk,c,InstiK,
InstiK4,Panto Darby,Kinner Natalya,c,InstiK,
InstiK5,Alcalde Hildred,Masino Winter,c,InstiK,
InstiK6,Busby Gus,Fendt Edwardo,c,InstiK,
InstiK7,Axelsen Ivelisse,Towey Henrietta,c,InstiK,
InstiC1,Thwaites Ula,Esche Michal,b,InstiC,
InstiC2,Keding Jonathon,Shingleur Joaquina,b,InstiC,
InstiC3,Prisbrey Terri,Colas Scarlett,b,InstiC,
InstiC4,Winkeljohn Carmelina,Bolf Sherron,b,InstiC,
InstiC5,Cistrunk Toney,Ibach Elenor,b,InstiC,
InstiII3,Hettinger Robbin,Koulabout Marceline,b,InstiII,
InstiII4,Castor Marcelina,Carangelo Leandra,b,InstiII,
InstiII5,Moudry Hwa,Eifler Nery,b,InstiII,
InstiL1,Hardinson Cherise,Coonradt Georgianna,b,InstiL,
InstiL2,Kaschmitter Vernell,Niedbalski Connie,b,InstiL,InstiK
InstiL3,Brunken Alysia,Fordham Blanche,b,InstiL,
InstiM1,Islas Jammie,Raleigh Lu,b,InstiM,
InstiM2,Guzy Neely,Overland Katie,b,InstiM,
InstiM3,Zhu Sol,Gandee Carolyn,b,InstiM,
InstiI1,Roman Jesus,Himber Dustin,a,InstiI,
InstiI2,Tllo Laurinda,Maceda Inell,a,InstiI,
InstiIIII14,Waldrop Charlie,Clusky Jeffery,a,InstiIIII,
