team name,name1,name2,name3,name4,Institution-scale,institution,institution
InstiA1,Poloskey Enriqueta,Harbour Johnathan,Delibertis Dianne,Wahler Matha,c,InstiA,InstiB
InstiA2,Putzer Socorro,Gerety Emilia,Lagard Angila,Mate Piper,c,InstiA,
InstiA3,Mcfate Della,Soderman Allison,Shams Johnnie,Zibell Lea,c,InstiA,
InstiA4,Panduro Barrie,Schatzberg Deidre,Albares Lore,Kniess Dione,c,InstiA,
InstiA5,Volkert Janene,Chrisley Suzette,Koncan Oda,Scholnick Franklin,c,InstiA,
InstiA6,Shames Lorilee,Levreau Maribel,Kasel Desirae,Karnish Demetrius,c,InstiA,
InstiA7,Raterman Landon,Storrs Shavon,Walks Phyliss,Grebin Tonda,c,InstiA,
InstiA8,Gailliard Kim,Surette Buck,Perow Jody,Kini Zoraida,c,InstiA,
InstiB1,Stadtlander Lakeshia,Spino Cynthia,Elman Elfreda,Lindy Lou,c,InstiB,
InstiB2,Corey Kathie,Dantzler Theodore,Barham Hettie,Karapetian Toni,c,InstiB,
InstiB3,Delamare Arlene,Vokes Lottie,Dearment Hannelore,Menor Kaitlin,c,InstiB,
InstiB4,Reedy Delora,Turke Elsa,Beltram Merle,Kurban Fae,c,InstiB,
InstiB5,Dejoie Jaye,Rayford Caren,Borjon Julieta,Pomeranz Blake,c,InstiB,
InstiB6,Kuhr Claude,Parolini Deandre,Kingen Levi,Ophus Alysha,c,InstiB,
InstiD1,Jewkes Adah,Wedner Nicolasa,Pulwer Hope,Bacchi Zora,c,InstiD,
InstiD2,Sulzman Luetta,Luangxay Ricardo,Pedraja Rickie,Filippi Dewitt,c,InstiD,
InstiD3,Allgier Dora,Hochstine Gladys,Flennoy Caitlin,Feasel Mozell,c,InstiD,
InstiD4,Younce Lahoma,Guzalak Ronda,Staelens Kassandra,Flegal Paul,c,InstiD,
InstiD5,Garin Season,Nurmi Niesha,Slot Edgar,Stork Ken,c,InstiD,
InstiD6,Zephyr Nelida,Donlin Thaddeus,Auxilien Leanne,Pallares Royal,c,InstiD,
InstiD7,Swayzer Alisia,Ana Patty,Scrogham Akiko,Tielking Lindy,c,InstiD,
InstiD8,Ngueyn Refugio,Chandronnait Lorean,Maddalena Michiko,Ransick Maryann,c,InstiD,
InstiE1,Sutcliffe Giselle,Hudecek Adina,Boos Birgit,Rennix Eldora,c,InstiE,
InstiE2,Urias Jimmie,Baudler Ruthe,Kousonsavath Tabitha,Brearley Willia,c,InstiE,
InstiE3,Kozub Matilda,Flautt Rosemarie,Frazzano Frieda,Lauver Tawanna,c,InstiE,
InstiE4,Yunes Johnny,Lais Mike,Walizer Karri,Baselice Verona,c,InstiE,
InstiE5,Rushmore Lenard,Rothweiler Anthony,Graffney Tad,Sneed Robt,c,InstiE,
InstiE6,Blitch Maurice,Storniolo Berry,Radney Manda,Blinebry Margery,c,InstiE,
InstiE7,Berdan Ashely,Cunning Jaclyn,Surano Joan,Euton Kelley,c,InstiE,
InstiE8,Savo Vanessa,Naone Ami,Metta Neoma,Blackwood Dot,c,InstiE,
InstiE9,Parsh Dixie,Montoro Edmundo,Dingwall Rocky,Segraves Lillia,c,InstiE,
InstiE10,Obeng Mandi,Shuffleburg Fiona,Mcdaniel Domitila,Galeoto Lilian,c,InstiE,
InstiF1,Linsner Joshua,Dabbs Zola,Crofoot Chery,Schells Alla,c,InstiF,
InstiF2,Gladish Kayleigh,Harbeck Kai,Bormet Mildred,Pylvainen Misti,c,InstiF,
InstiF3,Thoeny Catherine,Spitale Ardis,Tuggle Gerald,Chhun Fanny,c,InstiF,
InstiF4,Gainforth Damon,Darocha Mac,Klimo Wilford,Hsing Chin,c,InstiF,
InstiF5,Mead Danial,Raza Lani,Oberry Joselyn,Casady Lucius,c,InstiF,
InstiF6,Hulshoff Christy,Capilla Cicely,Cioffi Kendrick,Dent Claudio,c,InstiF,
InstiG1,Thies Hertha,Boehme Lauren,Stine Ninfa,Huyser Carli,c,InstiG,
InstiG2,Plohr An,Mendillo Julio,Kobashigawa Lyn,Eshmon Jenee,c,InstiG,
InstiG3,Heinricher Reynaldo,Malak Tabetha,Mehlig Tu,Vassallo Maren,c,InstiG,
InstiG4,Drouillard Latoya,Yust Otilia,Mcculler Ricky,Bove Candace,c,InstiG,
InstiG5,Jannsen Frida,Brank Yolande,Ranson Dolly,Azzopardi Frankie,c,InstiG,
InstiG6,Kassim Marta,Keis Iona,Mammoccio Austin,Rohan Grisel,c,InstiG,
InstiG7,Moevao Versie,Ambrosino Flossie,Northern Sherie,Donhoe Carmon,c,InstiG,
InstiG8,Liebherr Roderick,Pedralba Suzanne,Mchughes Roselee,Hemmen Dorcas,c,InstiG,
InstiG9,Hunstad Janel,Timinsky Courtney,Kappel Rosia,Mustache Aileen,c,InstiG,
InstiH1,Mccullar Tanna,Rapson Audrea,Uhrmacher Cammie,Werksman Randall,c,InstiH,InstiB
InstiH2,Waltersdorf Logan,Sandin Oretha,Renick Valencia,Ferrufino Kelsey,c,InstiH,
InstiH3,Lipsky Lindsay,Toler Betty,Kremmel Tomeka,Okonski Clayton,c,InstiH,
InstiH4,Arbogast Jeffrey,Teitsort Ozella,Murrock Kayla,Beninato Kellee,c,InstiH,
InstiH5,Schnautz Frederick,Kadis Katheleen,Fedie Thad,Praylow Bibi,c,InstiH,
