name,"Reputation[0, 10]","Judge test[0, 10]",institution,institution,institution,institution,institution,institution,institution,institution,institution,institution,conflicting team,conflicting team,conflicting team,conflicting team,conflicting team,conflicting team,conflicting team,conflicting team,conflicting team,conflicting team
Grochowski Quinn,9.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Martian Hyacinth,9.0,0.0,InstiC,,,,,,,,,,,,,,,,,,,
Mauzy Laraine,9.0,0.0,InstiC,,,,,,,,,,,,,,,,,,,
Ardis Una,9.0,0.0,InstiA,,,,,,,,,,,,,,,,,,,
Mofford Benny,9.0,0.0,InstiG,,,,,,,,,,,,,,,,,,,
Bohnenblust Nisha,9.0,0.0,InstiI,,,,,,,,,,,,,,,,,,,
Heep Irma,9.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Vorhees Tessie,8.0,0.0,InstiE,,,,,,,,,,,,,,,,,,,
Kuser Sharleen,8.0,0.0,InstiG,,,,,,,,,,,,,,,,,,,
Tennill Joella,8.0,0.0,InstiE,,,,,,,,,,,,,,,,,,,
Cord Shon,8.0,0.0,InstiA,,,,,,,,,,,,,,,,,,,
Vahena Delta,8.0,0.0,InstiE,,,,,,,,,,,,,,,,,,,
Klick Becky,8.0,0.0,InstiG,,,,,,,,,,,,,,,,,,,
Masin Marguerite,8.0,0.0,InstiC,,,,,,,,,,,,,,,,,,,
Juras Jann,8.0,0.0,InstiC,,,,,,,,,,,,,,,,,,,
Dockter Malinda,8.0,0.0,InstiH,,,,,,,,,,,,,,,,,,,
Seek Tania,8.0,0.0,InstiF,,,,,,,,,,,,,,,,,,,
Buecher Linn,8.0,0.0,InstiI,,,,,,,,,,,,,,,,,,,
Boron Gwenda,8.0,0.0,InstiA,,,,,,,,,,,,,,,,,,,
Degrenier Linsey,8.0,0.0,InstiA,,,,,,,,,,,,,,,,,,,
Talas Glenn,8.0,0.0,InstiF,,,,,,,,,,,,,,,,,,,
Church Jules,8.0,0.0,InstiA,,,,,,,,,,,,,,,,,,,
Ranno Anibal,8.0,0.0,InstiD,,,,,,,,,,,,,,,,,,,
Rance Jamal,7.0,0.0,InstiF,,,,,,,,,,,,,,,,,,,
Shatrau Annamae,7.0,0.0,InstiD,,,,,,,,,,,,,,,,,,,
Marrietta Corina,7.0,0.0,InstiG,,,,,,,,,,,,,,,,,,,
Bottgenbach Zana,7.0,0.0,InstiI,,,,,,,,,,,,,,,,,,,
Senavanh Crysta,7.0,0.0,InstiD,,,,,,,,,,,,,,,,,,,
Eastep Melida,7.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Ynocencio James,7.0,0.0,InstiE,,,,,,,,,,,,,,,,,,,
Nisbit Florence,7.0,0.0,InstiF,,,,,,,,,,,,,,,,,,,
Feiner Spring,7.0,0.0,InstiH,,,,,,,,,,,,,,,,,,,
Goldmann Jamar,7.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Stokel Merri,7.0,0.0,InstiD,,,,,,,,,,,,,,,,,,,
Maloch Leonie,7.0,0.0,InstiG,,,,,,,,,,InstiI1,,,,,,,,,
Malekan Tressa,7.0,0.0,InstiC,,,,,,,,,,InstiJ1,,,,,,,,,
Creeden Millie,7.0,0.0,InstiH,,,,,,,,,,,,,,,,,,,
Emmerich Sally,7.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Justen Vergie,7.0,0.0,InstiC,,,,,,,,,,,,,,,,,,,
Devier Carolyn,7.0,0.0,InstiA,,,,,,,,,,,,,,,,,,,
Dunahoe Gabriela,7.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Hillhouse Harlan,7.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Tyer Ka,6.0,0.0,InstiE,,,,,,,,,,,,,,,,,,,
Gidaro Tanesha,6.0,0.0,InstiH,,,,,,,,,,,,,,,,,,,
Naeve Annabelle,6.0,0.0,InstiF,,,,,,,,,,,,,,,,,,,
Roemer Connie,6.0,0.0,InstiF,,,,,,,,,,,,,,,,,,,
Lemoine Roseanne,6.0,0.0,InstiC,,,,,,,,,,,,,,,,,,,
Perr Roni,6.0,0.0,InstiC,,,,,,,,,,InstiA1,,,,,,,,,
Didomizio Darleen,6.0,0.0,InstiB,,,,,,,,,,,,,,,,,,,
Drullard Alisia,6.0,0.0,InstiH,,,,,,,,,,InstiK1,,,,,,,,,
Meler Leeanna,6.0,0.0,InstiC,,,,,,,,,,,,,,,,,,,
Familia Martina,6.0,0.0,InstiH,,,,,,,,,,,,,,,,,,,
Forward Chantay,5.0,0.0,InstiH,,,,,,,,,,,,,,,,,,,
Thomas Earl,5.0,0.0,InstiE,,,,,,,,,,,,,,,,,,,
