team name,name1,name2,name3,Institution-scale,institution,institution
InstiA1,Poloskey Enriqueta,Harbour Johnathan,Delibertis Dianne,c,InstiA,InstiB
InstiA2,Putzer Socorro,Gerety Emilia,Lagard Angila,c,InstiA,
InstiA3,Mcfate Della,Soderman Allison,Shams Johnnie,c,InstiA,
InstiA4,Panduro Barrie,Schatzberg Deidre,Albares Lore,c,InstiA,
InstiA5,Volkert Janene,Chrisley Suzette,Koncan Oda,c,InstiA,
InstiA6,Shames Lorilee,Levreau Maribel,Kasel Desirae,c,InstiA,
InstiA7,Raterman Landon,Storrs Shavon,Walks Phyliss,c,InstiA,
InstiA8,Gailliard Kim,Surette Buck,Perow Jody,c,InstiA,
InstiB1,Stadtlander Lakeshia,Spino Cynthia,Elman Elfreda,c,InstiB,
InstiB2,Corey Kathie,Dantzler Theodore,Barham Hettie,c,InstiB,
InstiB3,Delamare Arlene,Vokes Lottie,Dearment Hannelore,c,InstiB,
InstiB4,Reedy Delora,Turke Elsa,Beltram Merle,c,InstiB,
InstiB5,Dejoie Jaye,Rayford Caren,Borjon Julieta,c,InstiB,
InstiB6,Kuhr Claude,Parolini Deandre,Kingen Levi,c,InstiB,
InstiD1,Jewkes Adah,Wedner Nicolasa,Pulwer Hope,c,InstiD,
InstiD2,Sulzman Luetta,Luangxay Ricardo,Pedraja Rickie,c,InstiD,
InstiD3,Allgier Dora,Hochstine Gladys,Flennoy Caitlin,c,InstiD,
InstiD4,Younce Lahoma,Guzalak Ronda,Staelens Kassandra,c,InstiD,
InstiD5,Garin Season,Nurmi Niesha,Slot Edgar,c,InstiD,
InstiD6,Zephyr Nelida,Donlin Thaddeus,Auxilien Leanne,c,InstiD,
InstiD7,Swayzer Alisia,Ana Patty,Scrogham Akiko,c,InstiD,
InstiD8,Ngueyn Refugio,Chandronnait Lorean,Maddalena Michiko,c,InstiD,
InstiE1,Sutcliffe Giselle,Hudecek Adina,Boos Birgit,c,InstiE,
InstiE2,Urias Jimmie,Baudler Ruthe,Kousonsavath Tabitha,c,InstiE,
InstiE3,Kozub Matilda,Flautt Rosemarie,Frazzano Frieda,c,InstiE,
InstiE4,Yunes Johnny,Lais Mike,Walizer Karri,c,InstiE,
InstiE5,Rushmore Lenard,Rothweiler Anthony,Graffney Tad,c,InstiE,
InstiE6,Blitch Maurice,Storniolo Berry,Radney Manda,c,InstiE,
InstiE7,Berdan Ashely,Cunning Jaclyn,Surano Joan,c,InstiE,
InstiE8,Savo Vanessa,Naone Ami,Metta Neoma,c,InstiE,
InstiE9,Parsh Dixie,Montoro Edmundo,Dingwall Rocky,c,InstiE,
InstiE10,Obeng Mandi,Shuffleburg Fiona,Mcdaniel Domitila,c,InstiE,
InstiF1,Linsner Joshua,Dabbs Zola,Crofoot Chery,c,InstiF,
InstiF2,Gladish Kayleigh,Harbeck Kai,Bormet Mildred,c,InstiF,
InstiF3,Thoeny Catherine,Spitale Ardis,Tuggle Gerald,c,InstiF,
InstiF4,Gainforth Damon,Darocha Mac,Klimo Wilford,c,InstiF,
InstiF5,Mead Danial,Raza Lani,Oberry Joselyn,c,InstiF,
InstiF6,Hulshoff Christy,Capilla Cicely,Cioffi Kendrick,c,InstiF,
InstiG1,Thies Hertha,Boehme Lauren,Stine Ninfa,c,InstiG,
InstiG2,Plohr An,Mendillo Julio,Kobashigawa Lyn,c,InstiG,
InstiG3,Heinricher Reynaldo,Malak Tabetha,Mehlig Tu,c,InstiG,
InstiG4,Drouillard Latoya,Yust Otilia,Mcculler Ricky,c,InstiG,
InstiG5,Jannsen Frida,Brank Yolande,Ranson Dolly,c,InstiG,
InstiG6,Kassim Marta,Keis Iona,Mammoccio Austin,c,InstiG,
InstiG7,Moevao Versie,Ambrosino Flossie,Northern Sherie,c,InstiG,
InstiG8,Liebherr Roderick,Pedralba Suzanne,Mchughes Roselee,c,InstiG,
InstiG9,Hunstad Janel,Timinsky Courtney,Kappel Rosia,c,InstiG,
InstiH1,Mccullar Tanna,Rapson Audrea,Uhrmacher Cammie,c,InstiH,InstiB
InstiH2,Waltersdorf Logan,Sandin Oretha,Renick Valencia,c,InstiH,
InstiH3,Lipsky Lindsay,Toler Betty,Kremmel Tomeka,c,InstiH,
InstiH4,Arbogast Jeffrey,Teitsort Ozella,Murrock Kayla,c,InstiH,
InstiH5,Schnautz Frederick,Kadis Katheleen,Fedie Thad,c,InstiH,
InstiH6,Mohaupt Ji,Clepper Sommer,Lench Boris,c,InstiH,
InstiH7,Pa Leigh,Fiorito Burl,Kevorkian Floria,c,InstiH,
InstiH8,Loiacona Jettie,Leaser Thersa,Reado Erinn,c,InstiH,
InstiH9,Branner Lavette,Trumball Rod,Klonoski Stacie,c,InstiH,
InstiH10,Clanin Corey,Duso Maxima,Gullette Joanna,c,InstiH,
InstiH11,Stockfisch Buford,Knoepke Columbus,Bintliff Mitchel,c,InstiH,
InstiH12,Skillett Clora,Guerra Orval,Duenke Myrl,c,InstiH,
InstiIII6,Dilucca Stephaine,Hagert Elli,Vanandel Sherlyn,c,InstiIII,
InstiIII7,Stillie Desiree,Havenhill Kenda,Pafford Elise,c,InstiIII,
InstiIII8,Scheyer Delana,Flecher Dan,Blackie Henry,c,InstiIII,
InstiIII9,Schnell Risa,Poltorak Sydney,Neloms Cedrick,c,InstiIII,
InstiIII10,Curlin Elfrieda,Jaffy Corrina,Koles Fausto,c,InstiIII,
InstiIII11,Minock Buena,Wisser Luann,Kalahiki Kanisha,c,InstiIII,
InstiIII12,Celestino Mana,Ouimette Zonia,Howerter Keena,c,InstiIII,
InstiIII13,Ljungquist Samual,Alexandria Allie,Gosha Chu,c,InstiIII,
InstiJ1,Ehmer Jonnie,Alvelo Johanne,Jenderer Werner,c,InstiJ,
InstiJ2,Carlin Cody,Longest Jane,Stapleford Millard,c,InstiJ,
InstiJ3,Merlino Temeka,Vanbibber Chang,Pelto Monroe,c,InstiJ,
InstiJ4,Rovinsky Kiesha,Abolafia Jan,Lasseter Crissy,c,InstiJ,
InstiJ5,Hannah Jerry,Woodrum Meredith,Postier Vikki,c,InstiJ,
InstiJ6,Amigon Hipolito,Rosenbalm Delsie,Ake Thora,c,InstiJ,
InstiJ7,Swindle Iola,Genest Iraida,Somerville Soila,c,InstiJ,
InstiJ8,Elkayam Luis,Vaneaton Luther,Lalley Adrianna,c,InstiJ,
InstiJ9,Reigleman Bree,Mccredie Retha,Hartung Tricia,c,InstiJ,
InstiK1,Deignan Hank,Hennig Bryan,Brundidge Dennis,c,InstiK,InstiJ
InstiK2,Mugica Emelda,Gouveia Wally,Turnbull Jamey,c,InstiK,
InstiK3,Acree Derek,Machacek Suk,Stoutamire Raul,c,InstiK,
InstiK4,Panto Darby,Kinner Natalya,Perciballi Jim,c,InstiK,
InstiK5,Alcalde Hildred,Masino Winter,Kearsley Willard,c,InstiK,
InstiK6,Busby Gus,Fendt Edwardo,Ebsen Shae,c,InstiK,
InstiK7,Axelsen Ivelisse,Towey Henrietta,Heathcock Ahmed,c,InstiK,
InstiC1,Thwaites Ula,Esche Michal,Bozelle Brooks,b,InstiC,
InstiC2,Keding Jonathon,Shingleur Joaquina,Vargis Willodean,b,InstiC,
InstiC3,Prisbrey Terri,Colas Scarlett,Braulio Shanta,b,InstiC,
InstiC4,Winkeljohn Carmelina,Bolf Sherron,Christenson Shawanna,b,InstiC,
InstiC5,Cistrunk Toney,Ibach Elenor,Fleischmann Lolita,b,InstiC,
InstiII3,Hettinger Robbin,Koulabout Marceline,Euber Cyrstal,b,InstiII,
InstiII4,Castor Marcelina,Carangelo Leandra,Crisco Rene,b,InstiII,
InstiII5,Moudry Hwa,Eifler Nery,Moleski Violeta,b,InstiII,
InstiL1,Hardinson Cherise,Coonradt Georgianna,Nacol Tawny,b,InstiL,
InstiL2,Kaschmitter Vernell,Niedbalski Connie,Woolem Patience,b,InstiL,InstiK
InstiL3,Brunken Alysia,Fordham Blanche,Leverton Melodi,b,InstiL,
InstiM1,Islas Jammie,Raleigh Lu,Scorzelli Marivel,b,InstiM,
InstiM2,Guzy Neely,Overland Katie,Holycross Melaine,b,InstiM,
InstiM3,Zhu Sol,Gandee Carolyn,Valenta Cornelius,b,InstiM,
InstiI1,Roman Jesus,Himber Dustin,Low Sherry,a,InstiI,
InstiI2,Tllo Laurinda,Maceda Inell,Frisbee Odis,a,InstiI,
InstiIIII14,Waldrop Charlie,Clusky Jeffery,Honigsberg Krystal,a,InstiIIII,
