team name,name1,mame2,scale,institution
InstiA8,Gailliard Kim,Surette Buck,c,InstiA
InstiM3,Zhu Sol,Gandee Carolyn,b,InstiM
InstiIII9,Schnell Risa,Poltorak Sydney,c,InstiIII
InstiH5,Schnautz Frederick,Kadis Katheleen,c,InstiH
InstiJ6,Amigon Hipolito,Rosenbalm Delsie,c,InstiJ
InstiB4,Reedy Delora,Turke Elsa,c,InstiB
InstiF1,Linsner Joshua,Dabbs Zola,c,InstiF
InstiG1,Thies Hertha,Boehme Lauren,c,InstiG
InstiD8,Ngueyn Refugio,Chandronnait Lorean,c,InstiD,InstiJ
InstiG8,Liebherr Roderick,Pedralba Suzanne,c,InstiG
InstiC4,Winkeljohn Carmelina,Bolf Sherron,b,InstiC
InstiD1,Jewkes Adah,Wedner Nicolasa,c,InstiD
InstiH6,Mohaupt Ji,Clepper Sommer,c,InstiH
InstiK1,Deignan Hank,Hennig Bryan,c,InstiK
InstiG9,Hunstad Janel,Timinsky Courtney,c,InstiG
InstiI2,Tllo Laurinda,Maceda Inell,a,InstiI
InstiJ9,Reigleman Bree,Mccredie Retha,c,InstiJ
InstiIII10,Curlin Elfrieda,Jaffy Corrina,c,InstiIII
InstiII3,Hettinger Robbin,Koulabout Marceline,b,InstiII
InstiIII8,Scheyer Delana,Flecher Dan,c,InstiIII
InstiE9,Parsh Dixie,Montoro Edmundo,c,InstiE
InstiIII7,Stillie Desiree,Havenhill Kenda,c,InstiIII
InstiC5,Cistrunk Toney,Ibach Elenor,b,InstiC
InstiII4,Castor Marcelina,Carangelo Leandra,b,InstiII
InstiH2,Waltersdorf Logan,Sandin Oretha,c,InstiH
InstiI1,Roman Jesus,Himber Dustin,a,InstiI
InstiA5,Volkert Janene,Chrisley Suzette,c,InstiA
InstiD2,Sulzman Luetta,Luangxay Ricardo,c,InstiD
InstiH4,Arbogast Jeffrey,Teitsort Ozella,c,InstiH
InstiL2,Kaschmitter Vernell,Niedbalski Connie,b,InstiL
InstiK4,Panto Darby,Kinner Natalya,c,InstiK
InstiH3,Lipsky Lindsay,Toler Betty,c,InstiH
InstiD5,Garin Season,Nurmi Niesha,c,InstiD
InstiK2,Mugica Emelda,Gouveia Wally,c,InstiK
InstiA4,Panduro Barrie,Schatzberg Deidre,c,InstiA
InstiF4,Gainforth Damon,Darocha Mac,c,InstiF
InstiE7,Berdan Ashely,Cunning Jaclyn,c,InstiE
InstiB6,Kuhr Claude,Parolini Deandre,c,InstiB
InstiC2,Keding Jonathon,Shingleur Joaquina,b,InstiC
InstiJ1,Ehmer Jonnie,Alvelo Johanne,c,InstiJ,InstiK
InstiC1,Thwaites Ula,Esche Michal,b,InstiC
InstiK3,Acree Derek,Machacek Suk,c,InstiK
InstiE6,Blitch Maurice,Storniolo Berry,c,InstiE
InstiF5,Mead Danial,Raza Lani,c,InstiF
InstiF3,Thoeny Catherine,Spitale Ardis,c,InstiF
InstiJ7,Swindle Iola,Genest Iraida,c,InstiJ
InstiJ4,Rovinsky Kiesha,Abolafia Jan,c,InstiJ
InstiG2,Plohr An,Mendillo Julio,c,InstiG
InstiB3,Delamare Arlene,Vokes Lottie,c,InstiB
InstiA2,Putzer Socorro,Gerety Emilia,c,InstiA
