team name,name1,name2,name3,name4,Institution-scale,institution,institution
InstiD2,Sulzman Luetta,Luangxay Ricardo,Pedraja Rickie,Filippi Dewitt,c,InstiD,
InstiA4,Panduro Barrie,Schatzberg Deidre,Albares Lore,Kniess Dione,c,InstiA,
InstiG2,Plohr An,Mendillo Julio,Kobashigawa Lyn,Eshmon Jenee,c,InstiG,
InstiG9,Hunstad Janel,Timinsky Courtney,Kappel Rosia,Mustache Aileen,c,InstiG,
InstiF5,Mead Danial,Raza Lani,Oberry Joselyn,Casady Lucius,c,InstiF,
InstiF1,Linsner Joshua,Dabbs Zola,Crofoot Chery,Schells Alla,c,InstiF,
InstiIII11,Minock Buena,Wisser Luann,Kalahiki Kanisha,Pecore Davida,c,InstiIII,
InstiG4,Drouillard Latoya,Yust Otilia,Mcculler Ricky,Bove Candace,c,InstiG,
InstiH9,Branner Lavette,Trumball Rod,Klonoski Stacie,Stollar Tommie,c,InstiH,
InstiJ5,Hannah Jerry,Woodrum Meredith,Postier Vikki,Lippy Jerrica,c,InstiJ,
InstiF4,Gainforth Damon,Darocha Mac,Klimo Wilford,Hsing Chin,c,InstiF,
InstiB1,Stadtlander Lakeshia,Spino Cynthia,Elman Elfreda,Lindy Lou,c,InstiB,
InstiIII8,Scheyer Delana,Flecher Dan,Blackie Henry,Margotta Brandon,c,InstiIII,
InstiJ1,Ehmer Jonnie,Alvelo Johanne,Jenderer Werner,Strozewski Ivey,c,InstiJ,
InstiIII9,Schnell Risa,Poltorak Sydney,Neloms Cedrick,Scalet Genia,c,InstiIII,
InstiH2,Waltersdorf Logan,Sandin Oretha,Renick Valencia,Ferrufino Kelsey,c,InstiH,
InstiE10,Obeng Mandi,Shuffleburg Fiona,Mcdaniel Domitila,Galeoto Lilian,c,InstiE,
InstiE3,Kozub Matilda,Flautt Rosemarie,Frazzano Frieda,Lauver Tawanna,c,InstiE,
InstiA6,Shames Lorilee,Levreau Maribel,Kasel Desirae,Karnish Demetrius,c,InstiA,
InstiK7,Axelsen Ivelisse,Towey Henrietta,Heathcock Ahmed,Solid Caryl,c,InstiK,
InstiIII12,Celestino Mana,Ouimette Zonia,Howerter Keena,Jameson Pauletta,c,InstiIII,
InstiG8,Liebherr Roderick,Pedralba Suzanne,Mchughes Roselee,Hemmen Dorcas,c,InstiG,
InstiD3,Allgier Dora,Hochstine Gladys,Flennoy Caitlin,Feasel Mozell,c,InstiD,
InstiH6,Mohaupt Ji,Clepper Sommer,Lench Boris,Prazak Brendan,c,InstiH,
InstiE9,Parsh Dixie,Montoro Edmundo,Dingwall Rocky,Segraves Lillia,c,InstiE,
InstiH11,Stockfisch Buford,Knoepke Columbus,Bintliff Mitchel,Ferre Diann,c,InstiH,
InstiJ7,Swindle Iola,Genest Iraida,Somerville Soila,Raoof Machelle,c,InstiJ,
InstiA1,Poloskey Enriqueta,Harbour Johnathan,Delibertis Dianne,Wahler Matha,c,InstiA,InstiB
InstiD7,Swayzer Alisia,Ana Patty,Scrogham Akiko,Tielking Lindy,c,InstiD,
InstiD1,Jewkes Adah,Wedner Nicolasa,Pulwer Hope,Bacchi Zora,c,InstiD,
InstiB4,Reedy Delora,Turke Elsa,Beltram Merle,Kurban Fae,c,InstiB,
InstiH5,Schnautz Frederick,Kadis Katheleen,Fedie Thad,Praylow Bibi,c,InstiH,
InstiIII10,Curlin Elfrieda,Jaffy Corrina,Koles Fausto,Pereyra Devin,c,InstiIII,
InstiH1,Mccullar Tanna,Rapson Audrea,Uhrmacher Cammie,Werksman Randall,c,InstiH,InstiB
InstiH10,Clanin Corey,Duso Maxima,Gullette Joanna,Alder Linnie,c,InstiH,
InstiK4,Panto Darby,Kinner Natalya,Perciballi Jim,Wieloch Jacinta,c,InstiK,
InstiH12,Skillett Clora,Guerra Orval,Duenke Myrl,Dundas Verlie,c,InstiH,
InstiK5,Alcalde Hildred,Masino Winter,Kearsley Willard,Rach Bernadette,c,InstiK,
InstiJ4,Rovinsky Kiesha,Abolafia Jan,Lasseter Crissy,Gathers Tempie,c,InstiJ,
InstiJ8,Elkayam Luis,Vaneaton Luther,Lalley Adrianna,Tredennick Alvin,c,InstiJ,
InstiL1,Hardinson Cherise,Coonradt Georgianna,Nacol Tawny,Yarberry Marva,b,InstiL,
InstiC3,Prisbrey Terri,Colas Scarlett,Braulio Shanta,Macedo Dino,b,InstiC,
InstiM1,Islas Jammie,Raleigh Lu,Scorzelli Marivel,Moccio Paris,b,InstiM,
InstiM2,Guzy Neely,Overland Katie,Holycross Melaine,Liebeck Val,b,InstiM,
InstiC4,Winkeljohn Carmelina,Bolf Sherron,Christenson Shawanna,Lefaver Keenan,b,InstiC,
InstiC1,Thwaites Ula,Esche Michal,Bozelle Brooks,Wheler Mariano,b,InstiC,
InstiII3,Hettinger Robbin,Koulabout Marceline,Euber Cyrstal,Madamba Andra,b,InstiII,
InstiII4,Castor Marcelina,Carangelo Leandra,Crisco Rene,Grotberg Sharleen,b,InstiII,
InstiC2,Keding Jonathon,Shingleur Joaquina,Vargis Willodean,Gove Odell,b,InstiC,
InstiI1,Roman Jesus,Himber Dustin,Low Sherry,Outlaw Angelo,a,InstiI,
